Trial,DieRoll
1,3
2,3
3,3
4,4
5,2
6,6
7,5
8,3
9,5
10,4
11,5
12,1
13,6
14,6
15,6
16,5
17,4
18,6
19,5
20,3
21,3
22,6
23,2
24,1
25,5
26,6
27,3
28,3
29,2
30,6
31,2
32,4
33,5
34,6
35,2
36,3
37,1
38,3
39,5
40,4
41,6
42,2
43,6
44,6
45,6
46,4
47,6
48,6
49,3
50,4
51,1
52,4
53,5
54,4
55,1
56,5
57,4
58,1
59,3
60,6
61,3
62,6
63,4
64,3
65,2
66,2
67,1
68,4
69,1
70,1
71,5
72,4
73,4
74,5
75,1
76,5
77,4
78,5
79,2
80,1
81,5
82,3
83,2
84,1
85,1
86,5
87,4
88,3
89,4
90,1
91,2
92,4
93,4
94,4
95,3
96,4
97,6
98,4
99,5
100,5
101,5
102,5
103,2
104,5
105,5
106,5
107,5
108,6
109,3
110,6
111,5
112,1
113,1
114,3
115,1
116,5
117,3
118,6
119,3
120,3
121,3
122,3
123,6
124,2
125,5
126,5
127,1
128,4
129,6
130,2
131,1
132,4
133,3
134,1
135,4
136,2
137,1
138,1
139,5
140,6
141,5
142,3
143,5
144,2
145,6
146,5
147,1
148,5
149,6
150,6
151,3
152,6
153,2
154,3
155,5
156,1
157,6
158,4
159,3
160,5
161,3
162,2
163,5
164,6
165,6
166,3
167,2
168,5
169,4
170,5
171,5
172,2
173,2
174,3
175,4
176,5
177,2
178,4
179,4
180,6
181,1
182,4
183,3
184,2
185,3
186,3
187,1
188,5
189,6
190,3
191,1
192,1
193,4
194,3
195,3
196,2
197,5
198,2
199,3
200,4
